quizGroup type="WordMapping" promptType="English word" responseType="German word" mainSeparator="|" currentPromptNumber="0" isActive="true"
noticed|aufgefallen|
prompted|aufgefordert|
edition|auflage|
dissolve|aufzulösen|
are expressing|ausdrückst|
get along|auskomme|
testify|aussagen|
ax|axt|
gang|bande|
located|befindlich|
together|beisammen|
accession|beitritt|
benedict|benedict|
readiness|bereitschaft|
Punish|bestraf|
are running|betreibst|
refer|beziehe|
blind|blinde|
civil war|bürgerkrieg|
bureaucrat|bürokrat|
danzig|danzig|
divers|divers|
through|durchs|
installed|eingebaut|
one before|einsehe|
vanity|eitelkeit|
replace|ersetze|
open up|eröffne|
euphoria|euphorie|
celebrated|feierte|
enemy,|feindin|
campaign|feldzug|
held|festhielt|
Floria|floria|
cemetery|friedhof|
HB|frühst|
add|füge|
blinded|geblendet|
cost|gekostet|
used|genutzt|
increased|gestiegen|
entered|getreten|
targeted|gezielt|
magnanimity|großmut|
'd give|gäb|
Hans|hans|
Herald|herald|
helpless|hilflos|
hitler|hitlers|
Keepers|hütern|
iron|iron|
cabinet|kabinett|
bald|kahl|
action|klage|
konrad|konrad|
continuous|kontinuierlich|
crusade|kreuzzug|
store|lagern|
led|led|
praise|lob|
holes|löcher|
meal|mahlzeit|
Martio|martio|
brought|mitbrachte|
alleged|mutmaßliche|
east|ost|
prophet|prophet|
rough|rau|
in time|rechtzeitig|
puzzling|rätselhaft|
review|rückblick|
shepherd|schäfer|
feed|speisen|
proverbs|sprichwörter|
permitted|statthaft|
steigre|steigre|
forces|streitkräfte|
for hours|stundenlang|
sympathy|sympathie|
debris|trümmer|
Turkish|türkischem|
surrounding countryside|umland|
unnoticed|unbemerkt|
unnecessary|unnötig|
subject|unterworfen|
inadequate|unzureichend|
moveable|verfahr|
slip away|vergehst|
discarded|verworfen|
fourteen|vierzehn|
provided|vorausgesetzt|
empire|weltreich|
by magic|zaubere|
tenth|zehnte|
temporary|zeitweilig|
given|zuteil|
zuviei|zuviei|
overlaid|überzog|
hast|habest|
intimate|innig|
going away|verreise|
Western Front|westfront|
untied|abband|
abbot|abt|
called|anrief|
otherwise|ansonsten|
to suggest|anzudeuten|
aristocracy|aristokratie|
ausblute|ausblute|
expenditure|ausgaben|
exchanges|austausche|
station|bahnhof|
discuss|bespreche|
biographer|biograph|
brower|brower|
chancellor|bundeskanzler|
chief|chef|
crouch|crouch|
therefore|demnach|
thin|dünn|
more real|echtere|
conceited|eingebildet|
on the input|eintrieb|
closest|engst|
discharge|entladen|
explosion|explosion|
ride|fahrt|
fatal|fatale|
faulty|fehlerhaft|
hostile|feindselig|
hostilities|feindseligkeiten|
fly|fliegst|
flute|flöte|
functional|funktionell|
captivity|gefangenschaft|
carved|geschnitzt|
voted|gestimmt|
sought|gestrebt|
baptized|getauft|
credible|glaubwürdig|
in principle|grunds|
whilst he|herbeiführe|
came from|herkam|
bring forth|hervorbringe|
ports|häfen|
hilly|hügelig|
as a result|infolge|
commissioners|kommissaren|
cancel it|kündigst|
line|leitung|
invites|lädt|
neb|neb|
object|objekt|
planet|planeten|
program|programm|
ream|ries|
knight|ritter|
inconsiderate|rücksichtslos|
clean|sauber|
failed|schei|
Cunning|schlaue|
owe|schulde|
sharpen|schärfst|
by|seitens|
sinking|sinkst|
starters|startern|
stroke|strich|
system|systems|
allegiance|treueid|
bank|ufer|
killed|ums|
unlimited|unbegrenzt|
unlimited|uneingeschränkt|
unintentional|ungewollt|
undercutting|unterbot|
under|unterm|
unimportant|unwichtig|
compares|vergleicht|
ridiculed fruit|verlobst|
renting|vermiete|
cf|vgl|
pass by|vorbeigehe|
paternal|väterlich|
weaver|weber|
much|weitaus|
value|wertes|
wolf|wolf|
what|woran|
Certificates|zeugnisse|
Looking back|zurückblicke|
additive|zusatz|
practice|übe|
cross over|überquere|
ivory|elfenbein|
dowels gently|endens|
laminated|geschichtet|
Camel driver|Kameltreiber|
lucina|lucina|
reminder|mahnung|
adore|vergöttere|
bow|verneige|
excellent|vorzügliche|
mapped|abgebildet|
derived|abgeleitet|
rejected|abgewiesen|
dropped|abgeworfen|
reject|ablehne|
replacing|ablöst|
remove|abzunehmen|
all kinds|allerhand|
tenure|amtszeit|
continued|anhalt|
struck|anschlug|
commencement|antritt|
Struve to supervise|antrug|
Selection|anwahl|
offer|anzubieten|
indicate|anzug|
pitched|aufgeschlagen|
stop|aufzuhalten|
spread|ausgebreitet|
extinct|ausgestorben|
exercised|ausgeübt|
selection|auswahl|
train|auszubilden|
exploit|auszunutzen|
bangor|bangor|
endorser|begebe|
incidental|beiläufig|
assistance|beistand|
teach|beizubringen|
advise|berate|
beg|betteln|
charlene|charlene|
shown|dargestellt|
debate|debatte|
definite|definit|
three hundred|dreihundert|
use|einzusetzen|
removal|entfernung|
decided|entschloß|
entsprichst|entsprichst|
results|ergebnisse|
up Memory|erschlag|
first|erstem|
possibly|eventuell|
start|fange|
fresco|fresko|
bent|gebogen|
against each other|gegeneinander|
married|geheiratet|
landed|gelandet|
twaddle|gewäsch|
expressed|geäußert|
pour|gieß|
synonymous|gleichbedeutend|
also|gleichfalls|
coarse|grobem|
green|grün|
harbors|hegt|
here|here|
here|hie|
hornby|hornby|
hunter|jäger|
cat|katze|
kneels|kniet|
get|kriegt|
Croatian|kroate|
land|landen|
eventually|letztendlich|
magazine|magazin|
deserted|menschenleer|
mustafa|mustafa|
myths|mythen|
killer|mörder|
objects|objekte|
operation|operation|
processes|prozesse|
rest|ruhen|
quieter|ruhigere|
full|satt|
jewelry|schmuck|
severe|schwerste|
blessing|segen|
seminar|seminar|
skeptical|skeptisch|
just|soeben|
chair|stuhl|
ton|tonne|
burn|verbrennst|
forgive|vergebe|
breath away|verschlug|
morning|vormittag|
make|vorzunehmen|
values|werte|
more|wich|
give back|wiedergebt|
restored|wiederhergestellt|
winch|winde|
awarded|zugesprochen|
purposes|zwecke|
breeding|züchte|
fears|ängste|
look at|anschaue|
appeal|appellieren|
uncovereth|aufdecke|
visit|aufzusuchen|
eyelid|augenlid|
editors|bearbeitern|
emphasize|betonen|
downcast|betrübst|
guarded|bewacht|
darbiete|darbiete|
your|deines|
diadem|diadem|
average|durchschnittliche|
hastily|eilig|
inclusive|einbeziehe|
surreptitiously|erschlich|
experiments|experimente|
fortwähre|fortwähre|
acting|fungiere|
fan|fächern|
taken|gedauert|
healthy|gesunder|
home pay|heimzahle|
witch|hexe|
make clear|klarmache|
compete|konkurriere|
granulate|körnen|
lie|lie|
ridiculous|lächerliche|
play along|mitspiele|
merry|munteres|
top off|nachfülle|
kneel|niederknie|
resigning|niederlege|
pack|packen|
pensionierst|pensionierst|
permanently|permanent|
propaganda|propaganda|
honest|redliches|
regional|regionale|
rectal|rektal|
repression|repression|
real|richtiges|
switch|schalten|
shoot|schießen|
cabinet|schrank|
tail|schweifs|
blessed|selig|
seminars|seminare|
economical|sparsam|
tollend|tollend|
mourn|trauerst|
tournament|turnier|
mistaken|täuschst|
foolish|töricht|
discomfort|unbehagen|
rude|unhöflich|
at start|unterfange|
unreliable|unzuverlässig|
despise|verachte|
causes|veranlasst|
wasters|verschwendern|
misunderstandings|verständnisse|
foresee|voraussehe|
vordringe|vordringe|
hamlet|weiler|
will break|zerbreche|
broken|zerbrochen|
twitching|zuckend|
reject|zurückweise|
ambiguous|zweideutig|
left|übriggeblieben|
ansteche|ansteche|
ausreist|ausreist|
base|base|
entlaufe|entlaufe|
Ferns|Farne|
isis|isis|
wed|vermähle|
aufhelfe|aufhelfe|
breasts|brüste|
fasele|fasele|
Outward|hinreise|
polite|höfliches|
muscles|muskeln|
will auction|versteigere|
effeminate|weichlich|
overexert|überanstrenge|
overabundance|überfülle|
accused|angeklagt|
listen to|anhörst|
view|ausblick|
bedrängst|bedrängst|
needed|bedurft|
obey|befolgst|
illuminators|beleuchtern|
exhilarate|beschwingen|
fractures|brüche|
thinking|denkende|
unique|einzigartig|
explore|erforschst|
erstellst|erstellst|
drowning|ertrinke|
will catch|erwischst|
Patent Attorney|erwähle|
factories|fabriken|
is fascinated|fasziniere|
stand firm|feststehe|
release them|freilasse|
peace treaty|friedensvertrag|
promote|fördern|
Princes|Fürstentag|
safely|gefahrlos|
enclosure|gehege|
assistant|gehilfe|
gehäng|gehäng|
mentally strong|geisteskraft|
swept|gekehrt|
bent|gekrümmt|
stuffed|gestopft|
aroused|geweckt|
domestic policy|innenpolitik|
cook|kochst|
Communion|kommunion|
lauerem|lauerem|
ongoing|laufende|
suffering|leidend|
Mars|mars|
Central Europe|mitteleuropa|
thoughtful|nachdenklich|
nocturnal|nächtlich|
folders|ordnern|
East German|ostdeutsch|
magnificently|prachtvoll|
productive|produktiv|
movement|regung|
divorce|scheiden|
shrink|scheust|
scold|schimpfst|
Schleswig-Holstein|Schleswig-Holstein|
palatable|schmackhaft|
harmful|schädlich|
self-praise|selbstlob|
save|speichern|
strabe|strabe|
dying|stürbe|
temple|tempels|
tragici|tragici|
inconspicuous|unauffällig|
unfriendly|unfreundlich|
unexplained|ungeklärt|
suppressive|unterdrücke|
dissatisfied|unzufrieden|
digest|verdaust|
repays|vergilt|
proclaim|verkünde|
locked|verschloss|
verstimmst|verstimmst|
submitted to|vorgelegen|
wander|wandere|
evading|weichst|
wild|wilder|
wind|winden|
cast spells|zauberst|
circle|zirkel|
tremble|zittern|
flew|zuflog|
pull together|zusammenziehe|
undoubtedly|zweifellos|
breeding|züchtens|
Lifts|aufzuge|
grounds|begründung|
sometimes|bisweilen|
daniei|daniei|
there|daselbst|
ehrerbieten|ehrerbieten|
ambitious|ehrgeizigem|
alienating|entfremde|
movies|filme|
gefolgin|gefolgin|
disposable|geldes|
poison|gift|
peninsula|halbinsel|
houses|häusern|
Information|information|
inclusive|inklusion|
innermost|innerste|
Card|karten|
Life-size|Lebensgröße|
left|links|
mercer|mercer|
motto|motto|
myth|mythos|
panic|panik|
popularity|popularität|
revision|revision|
lake|sees|
in turn|seinerseits|
transmitter|sender|
Sicily|sizilien|
handsome|stattlich|
temperature|temperatur|
submitted|abgegeben|
demolished|abgerissen|
detached|abgetrennt|
discourages|abhalte|
discourages|abhält|
veer|abkomme|
falls|allt|
inquiry|anfrage|
Anglo|angel|
connected|angeschlossen|
addressed|angesprochen|
starting point|ausgangspunkt|
issued|ausgegeben|
delivered|ausgeliefert|
agreed|ausgemacht|
equipped|ausgerüstet|
authority|befugnis|
contributed|beigetragen|
known|bekanntlich|
acquaintance|bekanntschaft|
adjacent|benachbart|
confirmed|bestätigtem|
confirmation|bestätigung|
moved|bewog|
brandenburg|brandenburger|
Brussels|brüssel|
data|daten|
so|derart|
diplomat|diplomat|
three|dreien|
enforced|durchgesetzt|
noblest|edelste|
husband|ehemann|
rushes|eilt|
received|eingegangen|
classified|eingestuft|
Itemization|Einzelnachweis|
yield|erträge|
bottle|flasche|
flea|floh|
promotes|fördert|
used|gegriffen|
cleaned|geputzt|
noise|geräusche|
moved|gerückt|
companies|gesellschaften|
certainty|gewißheit|
gru|gru|
guest|gäste|
headquarters|hauptquartier|
lift|heben|
used|herangezogen|
a hundred|hundertmal|
cave|höhle|
inflation|inflation|
secretly|insgeheim|
sometime|irgendwann|
jap|jap|
Jesus|jesus|
abruptly|jäh|
annual|jährlichem|
chancellor|kanzler|
cape|kap|
kaufman|kaufman|
Kehl|kehl|
great|klasse|
combine|kombinat|
continent|kontinent|
frizzy|kraus|
cross|kreuz|
Crosses|kreuze|
Latika|latika|
lifeless|leblos|
luxury|luxus|
Landler|ländler|
Manfred|manfred|
million|mio|
envy|neid|
noches|noches|
organ|organ|
prominent|prominent|
respect|respekts|
remains|reste|
rudolf|rudolf|
avenge|rächst|
sankst|sankst|
son-in|schwiegersohn|
shrinkage|schwunds|
seen|seen|
slave|sklave|
social|soziale|
statistics|statistics|
held|stattfand|
material|stoff|
Stuttgart|stuttgart|
bell|stürze|
baptism|taufe|
heir to the throne|thronfolger|
separation|trennung|
reconstructed|umgebaut|
implemented|umgesetzt|
surrounding|umliegende|
continuously|ununterbrochen|
immediate|unverzüglich|
vague|vage|
Vases|vasen|
sales|verkäufe|
publishing|verlegens|
pastime|vertreib|
fend off|vertreibst|
accused of|vorgeworfen|
This|vorliegende|
foreman|vormann|
wax|wachs|
wechsein|wechsein|
passed|weitergegeben|
turn|wendung|
plant|werks|
Western Europe|westeuropa|
scurry|wieseln|
York|york|
anger|zorn|
inflow|zulauf|
back|zurückkam|
poorer|ärmer|
Austria|Österreichs|
remnant|überbleibsel|
littered|übersät|
aufbewahre|aufbewahre|
oppress|bedrücke|
amused|belustige|
Federal Office|Bundesamt|
detailliere|detailliere|
tiring|ermüdens|
degrade|erniedrige|
exigent|gestreng|
hollow|hohl|
delicious|köstlich|
Naples|neapel|
privileged ranking|privilegiere|
refine alternating|raffiniere|
sheep|schafen|
principal|schulleiter|
stare|starrst|
apportioned|umgelegt|
on list|überliste|
haggard|abgehärmt|
dismissed|abgetan|
denied|absprach|
worshiping|anbetens|
Occasions|anlässe|
anonymous|anonym|
Aristotle|aristoteles|
auffalle|auffalle|
cease|aufhörst|
extinguish|auszulöschen|
baron|baron|
questionable|bedenklich|
is founded|begründe|
art converted|bekehrst|
testify|bezeuge|
Buss|buß|
income|einkommen|
recommend|empfehle|
inventor|erfinderin|
blackmailed|erpresst|
euro|euro|
exactly|exakt|
fiction|fiktion|
research|forsch|
fractal|fraktal|
gift|gabe|
buildings|gebäuden|
interpreted|gedeutet|
eaten|gegessen|
obey|gehorchst|
Germania|Germania|
striped|gestreift|
yesterday's|gestrig|
paid|gezahlt|
cultured|gezüchtet|
have|habt|
home teacher|hauslehrer|
harry|heeren|
Heal|heile|
hemmst|hemmst|
high eighth|hochachte|
Universities|Hochschulen|
pretty|hübsches|
josefin|josefin|
Lawyer|juristin|
climb|kletterst|
literary|literarisch|
marisa|marisa|
classmate|mitschüler|
Reprints|nachdrücke|
lowest|niedrigst|
write down|notierst|
packed|packte|
arrow|pfeil|
quarks|quarks|
purity|reinheit|
esting|santes|
apron|schurz|
surge|schwall|
shake|schütteln|
shake|schüttelst|
secretions|sekreten|
emerald|smaragd|
heck|solls|
jumped|sprang|
marvel|staune|
stefan|stefan|
dance|tanz|
apt|treffend|
perimeter|umkreis|
cause kerst|verankerst|
heard|vernahm|
causes|verursache|
undertook|vornahm|
prescriptive|vorschreibe|
waters|wassern|
re-think|wiederfinde|
wave|winken|
lust|wollust|
toe|zeh|
gained|zugelegt|
hold back|zurückhalte|
eyebrow|augenbraue|
operated|betätige|
States|Bundesländer|
Christianize|christianisieren|
dubois|dubois|
discourage|entmutige|
entrücke|entrücke|
kindle|entzünde|
polite|höflich|
hip|hüfte|
cling|klammere|
disregard|missachte|
A Journey|mitreise|
naive|naiv|
Persian|perser|
qualifying|qualifiziere|
iridescent|schillernd|
Silesia|Schlesien|
sole|sohle|
devilish|teuflisch|
improper|ungehörig|
deny|verneine|
be late|verspäte|
strange|wunderlich|
amtiere|amtiere|
analysis|analyse|
plant|anlage|
arabs|arabern|
labor|arbeitskräfte|
attribute|attribut|
each other|aufeinander|
open my|aufmache|
Recovery|Aufschwung|
supervision|aufsicht|
ausfliege|ausfliege|
Performers|ausübe|
processing|bearbeitung|
known to give|bekanntgebt|
berger|berger|
bernhard|bernhard|
concerned|betreffende|
bitter|bitter|
bitterness|bitterkeit|
bay|bucht|
Bundestag|Bundestag|
citizens|bürgern|
demonstrari|demonstrari|
distanzierst|distanzierst|
in it|drin|
specifically|eigens|
influences|einflüsse|
penetrate|einzudringen|
corr|entspr|
disarm|entwaffne|
extinguished|erlösche|
wake up|erwache|
mention|erwähne|
fails|fehl|
fee|gebühr|
brain|gehirn|
comfortable|gemütlich|
confess|gestehst|
unions|gewerkschaften|
some|gewisses|
grant|gewähre|
greed|gier|
glass|glas|
like|gleicht|
service|gottesdienst|
Superpower|Großmacht|
gardener|gärtner|
half|halbes|
home-Meier|hausmeier|
helmut|helmut|
hung|hingen|
dog|hund|
indira|indira|
industrialisiere|industrialisiere|
infecting|infiziere|
thousands of years|jahrtausenden|
calendar|kalender|
cold|kalt|
trowel|kelle|
consequence|konsequenz|
konstituiere|konstituiere|
copy|kopiere|
Circles|kreist|
live|lebe|
Then sit|lehn|
leash|leine|
emissions|missionen|
mozart|mozart|
neighborhood|nachbarschaft|
proof|nachweis|
Personalities|persönlichkeiten|
path|pfad|
tarpaulin|plane|
Portugal|portugal|
premier|premier|
primitive|primitive|
projects|projekte|
right|rechts|
richest|reichstem|
rose|rose|
rounded|rundlich|
painful|schmerzlich|
sisters|schwestern|
Committees|schüsse|
champagne|sekt|
seventy|siebzig|
strange|sonderbar|
radiation|strahlung|
systems|systeme|
daytime|tageszeit|
train|trainiere|
comforting|tröstlich|
towers|türme|
outrageous|unerhört|
infertile|unfruchtbar|
unrest|unruhen|
maintains|unterhält|
undertook|unternahmen|
teaching should|unterrichts|
ignorance|unwissenheit|
etc|usw|
van|van|
Generalize|verallgemeinere|
causes|veranlaßt|
amaze|verblüffst|
verbreitre|verbreitre|
Verdun|Verdun|
admirer|verehrer|
verfälschst|verfälschst|
mock|verhöhne|
rejuvenated|verjünge|
verse|versen|
mock|verspotte|
verstreue|verstreue|
swap|vertausche|
pointed|verwies|
hag|vettel|
day before|vortag|
past|vorüber|
contradict|widersprich|
tooth|zahn|
economist|ökonom|
surplus|überschuß|
abs|abs|
apostate|abtrünnig|
aft|achtern|
altar|altar|
anatol|anatol|
arrive|anreist|
should grow as|anwachse|
aufziehe|aufziehe|
versed|auskenne|
avoided|auswich|
run|auszuführen|
automation|automation|
bauwelt|bauwelt|
belauschst|belauschst|
protected|beschützt|
mayoress|bürgermeisterin|
chronic|chronisch|
been there|dagewesen|
seal|dichtung|
diktierst|diktierst|
division|division|
transferring|einbringe|
fall asleep|einschlafen|
enter|einzutreten|
electronic|elektronisch|
escaped|entgangen|
released|entließ|
snatch|entreiße|
them escape|entrinne|
view|erachtens|
plunder|erbeutest|
vomited|erbrach|
issued|ergangen|
Sustainer|erhalter|
erlief|erlief|
erprobst|erprobst|
excite|errege|
rang out|erscholl|
ersuchst|ersuchst|
bland|fade|
fanatic|fanatisch|
celebrate|feiere|
cowardly|feig|
cowardly|feiger|
fortress|festung|
Lock to|fixierst|
fruit|frucht|
cast|gegossen|
chased|gejagt|
wife|gemahlin|
germain|germain|
plants|gewächse|
magnanimous|großmütig|
harrys|harrys|
lived|hausten|
light|hell|
hieroglyph|hieroglyphe|
hinderns|hinderns|
am hungry|hungre|
contents|inhalte|
Japanese|japanisch|
journals|journale|
know|kennenzulernen|
knock|klopfst|
Communist|kommunistin|
Constantinople|konstantinopel|
correctly|korrekt|
cool|kühl|
listen|lausche|
delete|löschst|
manifesting|manifestierst|
communicate|mitzuteilen|
mobile|mobile|
mysterious|mysteriös|
orally|mündlich|
tend|neige|
Neutralist|Neutralist|
oval|oval|
palaces|paläste|
philip|philip|
abandoned|preisgab|
professional|professionell|
psychological|psychologischem|
ride|ritt|
smelt|roch|
salads|salate|
sweethearts|schatze|
give|schenken|
flatter|schmeichele|
authoress|schriftstellerin|
swing|schwingst|
blackness|schwärze|
archipelago|schären|
seventeenth|siebzehnte|
sunrise|sonnenaufgang|
spectacle|spektakel|
athletic|sportlich|
constitutional law|staatsrechtler|
pin|stift|
would|stünde|
synod|synode|
reprimand|tadeln|
czechoslovakia|tschechoslowakei|
undisturbed|ungestört|
in to it|unterziehe|
ignorance|unwissen|
tour operators|veranstaltern|
traversed|verfahrende|
advocating|verfechte|
died|verstarb|
vorahnst|vorahnst|
wise|weises|
resist|widerstehe|
wording|wortlaut|
root|wurzel|
are warming|wärmst|
isolated|zelte|
tabernacle|zeltes|
devoted|zugetan|
returned|zurückgab|
get together|zusammenkomme|
tough|zäh|
malfoy|malfoy|
Pallas|Pallas|
descended|abstamme|
then|alsdann|
andres|andres|
Vehicle Transport|auslieferer|
intermittent|aussetze|
Pacify|befriede|
notify|benachrichtige|
summoned|beschied|
bestatte|bestatte|
appease|besänftige|
within|binnen|
boat|boot|
brown|braun|
dim|dämmerig|
defuse|entschärfe|
educate|erziehe|
your|euer|
gesture|geste|
lie behind|hinterlege|
India|indien|
Initiate|initiiere|
cold-blooded|kaltblüter|
complete|komplett|
compose|komponiere|
consolidating|konsolidiere|
LUDI|LUDI|
manipulative|manipuliere|
through|mittels|
nominate|nominiere|
Place|platziere|
porti|porti|
post|post|
protest|protest|
out|raus|
remus|remus|
show|schau|
chic|schicker|
Shrine|schreins|
vanish|schwinden|
help|umhin|
thankless|undankbare|
accident|unfall|
verbitterns|verbitterns|
verdeutliche|verdeutliche|
behaving|verhaltende|
conceal|verheimlichen|
verriegele|verriegele|
disdain|verschmähe|
verstopfe|verstopfe|
snared|verstrickst|
hush up|vertuschen|
curse|verwünsche|
videos|videos|
reviving|wiederbelebe|
poach|wildern|
scientific|wissenschaftlich|
centrally|zentral|
deeply|zutiefst|
hesitate|zögern|
chaste|züchtiger|
Occidental|abendländer|
write off|abschreiben|
amusing|amüsant|
memory|andenken|
located|angesiedelt|
attracted|angezogen|
indicate|anzugeben|
attack|anzugreifen|
working|arbeitende|
Argentina|argentinien|
calling|aufrief|
broke out|ausbrach|
sally|ausfalle|
exit|austritt|
autonomous|autonom|
bang|bang|
beehrst|beehrst|
hurry|beeilst|
ordered|befahl|
buried|begrub|
wel|begrüß|
denied|bestritt|
aware|bewusst|
need your|bräuche|
malignant|bösartig|
chemical|chemischem|
then go|dahingehe|
discipline|disziplin|
over|drüben|
break into your|einbreche|
indigenous|eingeboren|
iron|eisern|
elegant|elegant|
receptive|empfänglich|
taken from|entnehme|
hereditary|erblich|
educated|erzog|
FDP|FDP|
skill|fertigkeit|
tatters|fetzen|
the foot|fuße|
broken|gebrochene|
crowd|gedränge|
structure|gefüge|
excavated|gegraben|
haunt|geistern|
loaded|geladen|
blessed|gepriesen|
gerd|gerd|
sat|gesessen|
strengthened|gestärkt|
symmetry|gleichmaß|
gracious|gnädig|
Greek|griechin|
grim|grimmig|
grudge|gönnst|
hastily|hastig|
may grow|heranwachse|
horace|horace|
interesting|interessantes|
interest|interesses|
broken|kaputt|
constant|konstant|
courses|kurse|
for sale|käuflich|
chefs|köchen|
deliberative|legender|
teacher|lehrerin|
Physical|leibe|
lenkst|lenkst|
loyal|loyal|
mastering|meisterst|
Middle Ages|mittelalter|
give in|nachgebe|
disposition|naturell|
panther|panter|
patrice|patrice|
whip|peitsche|
philipps|philipps|
Phoenix|phönix|
try on|probierst|
pythagoras|pythagoras|
rest|rast|
smokes|raucht|
mature|reifer|
representative|repräsentant|
setback|rückschlag|
shame|scham|
slaughter|schlachte|
forge|schmieden|
Schroeder|Schröder|
stagger|schwankst|
sharpening|schärfens|
rarest|seltenst|
senate|senate|
Winners|Siegern|
meaningless|sinnlos|
sophia|sophia|
was holding|standhalte|
strategist|stratege|
student|studentin|
Chairs|stuhle|
rod|stäbchen|
dancing|tanzende|
Deaf|tauber|
triumphe|triumphe|
ulrich|ulrich|
violated|verletze|
pull over|vorbeiziehe|
prepare|vorzubereiten|
change|wandeln|
removed|weggenommen|
give further|weitergebe|
real contribution|wertem|
would|würdest|
numerical|zahlenmäßig|
zar|zar|
retarded|zurückgeblieben|
back soft|zurückweiche|
bring together|zusammenbringe|
ecology|ökologie|
exceeded|übertroffen|
old-fashioned|altmodisch|
supervise|beaufsichtige|
befriste|befriste|
fertilize|befruchte|
evaluating for|begutachte|
comfortable|behaglich|
aged|bejahrt|
teachest|belehrst|
appeasing|beschwichtige|
einquartiere|einquartiere|
elastic|elastisch|
erdichte|erdichte|
fathom|ergründe|
erschlaffe|erschlaffe|
explode|explodiere|
lazy|fauler|
focusing|fokussiere|
questionable|fragwürdig|
frugal|genügsam|
Install|installiere|
investing|investiere|
confront|konfrontiere|
convert|konvertiere|
corinth|korinth|
cultivate|kultiviere|
motivate|motiviere|
nachforsche|nachforsche|
nachprüfe|nachprüfe|
nods|nickt|
reactivate|reaktiviere|
dizzy|schwindelig|
Sterilize|sterilisiere|
sympathetic|sympathisch|
involuntarily|unwillkürlich|
vereidige|vereidige|
slowing|verlangsame|
pledge|verpfände|
dry up|versiegen|
vervielfältige|vervielfältige|
offensive|widerwärtig|
ceremony|zeremonie|
overestimate|überschätze|
departure|abgang|
abgebe|abgebe|
eighth|achte|
eighty|achtzig|
accent|akzent|
reigning|amtierendem|
facilities|anlagen|
application|anmeldung|
approach|ansatz|
muster|aufbringe|
departure|aufbruch|
beethoven|beethoven|
incident|begebenheit|
both|beides|
belohn|belohn|
owner|besitzers|
bed|bett|
bag|beutel|
blockade|blockade|
bonne|bonne|
branch|branch|
glasses|brille|
brothers|brüdern|
beech|buche|
Bourgeoisie|Bürgertum|
chemist|chemiker|
chemin|chemin|
behind|dahinten|
that of|demjenigen|
cathedral|dom|
dragon|drache|
penetrated|durchdrang|
egoism|egoismen|
objection|einspruch|
concord|eintracht|
individually|einzeln|
railroad|eisenbahn|
elephant|elefant|
design|entwurf|
Inventing|erfindens|
determination|ermittlung|
harvest|ernte|
expected|erwar|
turns out|erweist|
archbishop|erzbischof|
stage|etappe|
European|europäer|
expert|experte|
fact|fakt|
flows|fließt|
flow|fluß|
fragile|fragil|
Freiburg|freiburg|
building|gebäudes|
singing|gesang|
globalize|globalisieren|
luck|glücks|
Goethe|goethe|
grothe|grothe|
gründens|gründens|
captain|hauptmann|
bulk|hauptteil|
front door|haustür|
harsh|herbe|
obstacles|hindernisse|
horn|horn|
indonesia|indonesia|
Contents|Inhaltsverzeichnis|
ire|ire|
italy|italiens|
Joachim|Joachim|
Canaan|kanaan|
surrender|kapitulation|
kilometers|kilometern|
knot|knote|
crown|kröne|
ball|kugel|
manifested|kundgab|
purchases|käufe|
kiss|küsse|
Lubeck|lübeck|
brand|marke|
meters|metern|
neighbor|nachbar|
Innovation|Neuerung|
norbert|norbert|
normal|normale|
operations|operationen|
private|privat|
products|produkte|
Embossed|präge|
President|präsidentin|
Regulations|Regelungen|
regent|regent|
rhythm|rhythmus|
sheep|schaf|
cry|schrei|
schubert|schubert|
bask|sonnst|
spatulate|spateln|
speculation|spekulation|
opinion|stellungnahme|
encounters|stößt|
chairs|stühle|
aunt|tante|
dip|tauch|
Czech|tschechischem|
lower|unterem|
connectors|verbindern|
merit|verdienst|
progressions|verläufe|
mediate|vermittle|
mediation|vermittlung|
The procedure|vorgegangen|
lead|vorsprung|
mainly|vorwiegend|
coat of arms|wappen|
Christmas|weihnacht|
yorker|yorker|
contemporary|zeitgenosse|
civilization|zivilisation|
restraint|zurückhaltung|
contiguous|zusammenhängendem|
jurisdiction|zuständigkeit|
revealed|zutage|
branch|zweig|
two thousand|zweitausend|
interim|zwischenzeit|
Zurich|zürich|
doctors|ärzte|
PLA|abspiele|
update|aktualisiere|
angewöhne|angewöhne|
allude|anspiele|
keep a collection of|archiviere|
ausdünne|ausdünne|
testified|ausgesagt|
extinguish|auslösche|
beratschlage|beratschlage|
INTENDED|bezwecke|
disgrace|blamiere|
brilliant|brillante|
debating|debattiere|
dementiere|dementiere|
pierce|durchbohre|
by flute|durchflute|
by löchere|durchlöchere|
einverleibe|einverleibe|
expropriating|enteigne|
deflate|entleere|
borrow|entlehne|
enttarne|enttarne|
authorize|ermächtige|
dream up|erträume|
Germanin|germanin|
weighty|gewichtig|
hysterical|hysterisch|
improvise|improvisiere|
stage manager|inspizient|
conceive|konzipiere|
Mask|maskiere|
revamp|modernisiere|
modify|modifiziere|
Narcissus|Narziss|
pedantic|pedantisch|
popularisiere|popularisiere|
propagating|propagiere|
reproduce|reproduziere|
restaurate|restauriere|
rhythmic|rhythmisch|
Schramek|schramek|
was suspending|suspendiere|
secularizes|säkularisiere|
Territorial|territoriale|
transporting|transportiere|
unusable|unbrauchbar|
tirelessly|unermüdlich|
