quizGroup type="WordMapping" promptType="German word" responseType="English word" mainSeparator="|" currentPromptNumber="0" isActive="true"
hitlers|hitler|
hütern|Keepers|
iron|iron|
kabinett|cabinet|
kahl|bald|
klage|action|
konrad|konrad|
kontinuierlich|continuous|
kreuzzug|crusade|
lagern|store|
led|led|
lob|praise|
löcher|holes|
mahlzeit|meal|
martio|Martio|
mitbrachte|brought|
mutmaßliche|alleged|
ost|east|
prophet|prophet|
rau|rough|
rechtzeitig|in time|
rätselhaft|puzzling|
rückblick|review|
schäfer|shepherd|
speisen|feed|
sprichwörter|proverbs|
statthaft|permitted|
steigre|steigre|
streitkräfte|forces|
stundenlang|for hours|
sympathie|sympathy|
trümmer|debris|
türkischem|Turkish|
umland|surrounding countryside|
unbemerkt|unnoticed|
unnötig|unnecessary|
unterworfen|subject|
unzureichend|inadequate|
verfahr|moveable|
vergehst|slip away|
verworfen|discarded|
vierzehn|fourteen|
vorausgesetzt|provided|
weltreich|empire|
zaubere|by magic|
zehnte|tenth|
zeitweilig|temporary|
zuteil|given|
zuviei|zuviei|
überzog|overlaid|
habest|hast|
innig|intimate|
verreise|going away|
westfront|Western Front|
abband|untied|
abt|abbot|
anrief|called|
ansonsten|otherwise|
anzudeuten|to suggest|
aristokratie|aristocracy|
ausblute|ausblute|
ausgaben|expenditure|
austausche|exchanges|
bahnhof|station|
bespreche|discuss|
biograph|biographer|
brower|brower|
bundeskanzler|chancellor|
chef|chief|
crouch|crouch|
demnach|therefore|
dünn|thin|
echtere|more real|
eingebildet|conceited|
eintrieb|on the input|
engst|closest|
entladen|discharge|
explosion|explosion|
fahrt|ride|
fatale|fatal|
fehlerhaft|faulty|
feindselig|hostile|
feindseligkeiten|hostilities|
fliegst|fly|
flöte|flute|
funktionell|functional|
gefangenschaft|captivity|
geschnitzt|carved|
gestimmt|voted|
gestrebt|sought|
getauft|baptized|
glaubwürdig|credible|
grunds|in principle|
herbeiführe|whilst he|
herkam|came from|
hervorbringe|bring forth|
häfen|ports|
hügelig|hilly|
infolge|as a result|
kommissaren|commissioners|
kündigst|cancel it|
leitung|line|
lädt|invites|
neb|neb|
objekt|object|
planeten|planet|
programm|program|
ries|ream|
ritter|knight|
rücksichtslos|inconsiderate|
sauber|clean|
schei|failed|
schlaue|Cunning|
schulde|owe|
schärfst|sharpen|
seitens|by|
sinkst|sinking|
startern|starters|
strich|stroke|
systems|system|
treueid|allegiance|
ufer|bank|
ums|killed|
unbegrenzt|unlimited|
uneingeschränkt|unlimited|
ungewollt|unintentional|
unterbot|undercutting|
unterm|under|
unwichtig|unimportant|
vergleicht|compares|
verlobst|ridiculed fruit|
vermiete|renting|
vgl|cf|
vorbeigehe|pass by|
väterlich|paternal|
weber|weaver|
weitaus|much|
wertes|value|
wolf|wolf|
woran|what|
zeugnisse|Certificates|
zurückblicke|Looking back|
zusatz|additive|
übe|practice|
überquere|cross over|
elfenbein|ivory|
endens|dowels gently|
geschichtet|laminated|
Kameltreiber|Camel driver|
lucina|lucina|
mahnung|reminder|
vergöttere|adore|
verneige|bow|
vorzügliche|excellent|
abgebildet|mapped|
abgeleitet|derived|
abgewiesen|rejected|
abgeworfen|dropped|
ablehne|reject|
ablöst|replacing|
abzunehmen|remove|
allerhand|all kinds|
amtszeit|tenure|
anhalt|continued|
anschlug|struck|
antritt|commencement|
antrug|Struve to supervise|
anwahl|Selection|
anzubieten|offer|
anzug|indicate|
aufgeschlagen|pitched|
aufzuhalten|stop|
ausgebreitet|spread|
ausgestorben|extinct|
ausgeübt|exercised|
auswahl|selection|
auszubilden|train|
auszunutzen|exploit|
bangor|bangor|
begebe|endorser|
beiläufig|incidental|
beistand|assistance|
beizubringen|teach|
berate|advise|
betteln|beg|
charlene|charlene|
dargestellt|shown|
debatte|debate|
definit|definite|
dreihundert|three hundred|
einzusetzen|use|
entfernung|removal|
entschloß|decided|
entsprichst|entsprichst|
ergebnisse|results|
erschlag|up Memory|
erstem|first|
eventuell|possibly|
fange|start|
fresko|fresco|
gebogen|bent|
gegeneinander|against each other|
geheiratet|married|
gelandet|landed|
gewäsch|twaddle|
geäußert|expressed|
gieß|pour|
gleichbedeutend|synonymous|
gleichfalls|also|
grobem|coarse|
grün|green|
hegt|harbors|
here|here|
hie|here|
hornby|hornby|
jäger|hunter|
katze|cat|
kniet|kneels|
kriegt|get|
kroate|Croatian|
landen|land|
letztendlich|eventually|
magazin|magazine|
menschenleer|deserted|
mustafa|mustafa|
mythen|myths|
mörder|killer|
objekte|objects|
operation|operation|
prozesse|processes|
ruhen|rest|
ruhigere|quieter|
satt|full|
schmuck|jewelry|
schwerste|severe|
segen|blessing|
seminar|seminar|
skeptisch|skeptical|
soeben|just|
stuhl|chair|
tonne|ton|
verbrennst|burn|
vergebe|forgive|
verschlug|breath away|
vormittag|morning|
vorzunehmen|make|
werte|values|
wich|more|
wiedergebt|give back|
wiederhergestellt|restored|
winde|winch|
zugesprochen|awarded|
zwecke|purposes|
züchte|breeding|
ängste|fears|
anschaue|look at|
appellieren|appeal|
aufdecke|uncovereth|
aufzusuchen|visit|
augenlid|eyelid|
bearbeitern|editors|
betonen|emphasize|
betrübst|downcast|
bewacht|guarded|
darbiete|darbiete|
deines|your|
diadem|diadem|
durchschnittliche|average|
eilig|hastily|
einbeziehe|inclusive|
erschlich|surreptitiously|
experimente|experiments|
fortwähre|fortwähre|
fungiere|acting|
fächern|fan|
gedauert|taken|
gesunder|healthy|
heimzahle|home pay|
hexe|witch|
klarmache|make clear|
konkurriere|compete|
körnen|granulate|
lie|lie|
lächerliche|ridiculous|
mitspiele|play along|
munteres|merry|
nachfülle|top off|
niederknie|kneel|
niederlege|resigning|
packen|pack|
pensionierst|pensionierst|
permanent|permanently|
propaganda|propaganda|
redliches|honest|
regionale|regional|
rektal|rectal|
repression|repression|
richtiges|real|
schalten|switch|
schießen|shoot|
schrank|cabinet|
schweifs|tail|
selig|blessed|
seminare|seminars|
sparsam|economical|
tollend|tollend|
trauerst|mourn|
turnier|tournament|
täuschst|mistaken|
töricht|foolish|
unbehagen|discomfort|
unhöflich|rude|
unterfange|at start|
unzuverlässig|unreliable|
verachte|despise|
veranlasst|causes|
verschwendern|wasters|
verständnisse|misunderstandings|
voraussehe|foresee|
vordringe|vordringe|
weiler|hamlet|
zerbreche|will break|
zerbrochen|broken|
zuckend|twitching|
zurückweise|reject|
zweideutig|ambiguous|
übriggeblieben|left|
ansteche|ansteche|
ausreist|ausreist|
base|base|
entlaufe|entlaufe|
Farne|Ferns|
isis|isis|
vermähle|wed|
aufhelfe|aufhelfe|
brüste|breasts|
fasele|fasele|
hinreise|Outward|
höfliches|polite|
muskeln|muscles|
versteigere|will auction|
weichlich|effeminate|
überanstrenge|overexert|
überfülle|overabundance|
angeklagt|accused|
anhörst|listen to|
ausblick|view|
bedrängst|bedrängst|
bedurft|needed|
befolgst|obey|
beleuchtern|illuminators|
beschwingen|exhilarate|
brüche|fractures|
denkende|thinking|
einzigartig|unique|
erforschst|explore|
erstellst|erstellst|
ertrinke|drowning|
erwischst|will catch|
erwähle|Patent Attorney|
fabriken|factories|
fasziniere|is fascinated|
feststehe|stand firm|
freilasse|release them|
friedensvertrag|peace treaty|
fördern|promote|
Fürstentag|Princes|
gefahrlos|safely|
gehege|enclosure|
gehilfe|assistant|
gehäng|gehäng|
geisteskraft|mentally strong|
gekehrt|swept|
gekrümmt|bent|
gestopft|stuffed|
geweckt|aroused|
innenpolitik|domestic policy|
kochst|cook|
kommunion|Communion|
lauerem|lauerem|
laufende|ongoing|
leidend|suffering|
mars|Mars|
mitteleuropa|Central Europe|
nachdenklich|thoughtful|
nächtlich|nocturnal|
ordnern|folders|
ostdeutsch|East German|
prachtvoll|magnificently|
produktiv|productive|
regung|movement|
scheiden|divorce|
scheust|shrink|
schimpfst|scold|
Schleswig-Holstein|Schleswig-Holstein|
schmackhaft|palatable|
schädlich|harmful|
selbstlob|self-praise|
speichern|save|
strabe|strabe|
stürbe|dying|
tempels|temple|
tragici|tragici|
unauffällig|inconspicuous|
unfreundlich|unfriendly|
ungeklärt|unexplained|
unterdrücke|suppressive|
unzufrieden|dissatisfied|
verdaust|digest|
vergilt|repays|
verkünde|proclaim|
verschloss|locked|
verstimmst|verstimmst|
vorgelegen|submitted to|
wandere|wander|
weichst|evading|
wilder|wild|
winden|wind|
zauberst|cast spells|
zirkel|circle|
zittern|tremble|
zuflog|flew|
zusammenziehe|pull together|
zweifellos|undoubtedly|
züchtens|breeding|
aufzuge|Lifts|
begründung|grounds|
bisweilen|sometimes|
daniei|daniei|
daselbst|there|
ehrerbieten|ehrerbieten|
ehrgeizigem|ambitious|
entfremde|alienating|
filme|movies|
gefolgin|gefolgin|
geldes|disposable|
gift|poison|
halbinsel|peninsula|
häusern|houses|
information|Information|
inklusion|inclusive|
innerste|innermost|
karten|Card|
Lebensgröße|Life-size|
links|left|
mercer|mercer|
motto|motto|
mythos|myth|
panik|panic|
popularität|popularity|
revision|revision|
sees|lake|
seinerseits|in turn|
sender|transmitter|
sizilien|Sicily|
stattlich|handsome|
temperatur|temperature|
abgegeben|submitted|
abgerissen|demolished|
abgetrennt|detached|
abhalte|discourages|
abhält|discourages|
abkomme|veer|
allt|falls|
anfrage|inquiry|
angel|Anglo|
angeschlossen|connected|
angesprochen|addressed|
ausgangspunkt|starting point|
ausgegeben|issued|
ausgeliefert|delivered|
ausgemacht|agreed|
ausgerüstet|equipped|
befugnis|authority|
beigetragen|contributed|
bekanntlich|known|
bekanntschaft|acquaintance|
benachbart|adjacent|
bestätigtem|confirmed|
bestätigung|confirmation|
bewog|moved|
brandenburger|brandenburg|
brüssel|Brussels|
daten|data|
derart|so|
diplomat|diplomat|
dreien|three|
durchgesetzt|enforced|
edelste|noblest|
ehemann|husband|
eilt|rushes|
eingegangen|received|
eingestuft|classified|
Einzelnachweis|Itemization|
erträge|yield|
flasche|bottle|
floh|flea|
fördert|promotes|
gegriffen|used|
geputzt|cleaned|
geräusche|noise|
gerückt|moved|
gesellschaften|companies|
gewißheit|certainty|
gru|gru|
gäste|guest|
hauptquartier|headquarters|
heben|lift|
herangezogen|used|
hundertmal|a hundred|
höhle|cave|
inflation|inflation|
insgeheim|secretly|
irgendwann|sometime|
jap|jap|
jesus|Jesus|
jäh|abruptly|
jährlichem|annual|
kanzler|chancellor|
kap|cape|
kaufman|kaufman|
kehl|Kehl|
klasse|great|
kombinat|combine|
kontinent|continent|
kraus|frizzy|
kreuz|cross|
kreuze|Crosses|
latika|Latika|
leblos|lifeless|
luxus|luxury|
ländler|Landler|
manfred|Manfred|
mio|million|
neid|envy|
noches|noches|
organ|organ|
prominent|prominent|
respekts|respect|
reste|remains|
rudolf|rudolf|
rächst|avenge|
sankst|sankst|
schwiegersohn|son-in|
schwunds|shrinkage|
seen|seen|
sklave|slave|
soziale|social|
statistics|statistics|
stattfand|held|
stoff|material|
stuttgart|Stuttgart|
stürze|bell|
taufe|baptism|
thronfolger|heir to the throne|
trennung|separation|
umgebaut|reconstructed|
umgesetzt|implemented|
umliegende|surrounding|
ununterbrochen|continuously|
unverzüglich|immediate|
vage|vague|
vasen|Vases|
verkäufe|sales|
verlegens|publishing|
vertreib|pastime|
vertreibst|fend off|
vorgeworfen|accused of|
vorliegende|This|
vormann|foreman|
wachs|wax|
wechsein|wechsein|
weitergegeben|passed|
wendung|turn|
werks|plant|
westeuropa|Western Europe|
wieseln|scurry|
york|York|
zorn|anger|
zulauf|inflow|
zurückkam|back|
ärmer|poorer|
Österreichs|Austria|
überbleibsel|remnant|
übersät|littered|
aufbewahre|aufbewahre|
bedrücke|oppress|
belustige|amused|
Bundesamt|Federal Office|
detailliere|detailliere|
ermüdens|tiring|
erniedrige|degrade|
gestreng|exigent|
hohl|hollow|
köstlich|delicious|
neapel|Naples|
privilegiere|privileged ranking|
raffiniere|refine alternating|
schafen|sheep|
schulleiter|principal|
starrst|stare|
umgelegt|apportioned|
überliste|on list|
abgehärmt|haggard|
abgetan|dismissed|
absprach|denied|
anbetens|worshiping|
anlässe|Occasions|
anonym|anonymous|
aristoteles|Aristotle|
auffalle|auffalle|
aufhörst|cease|
auszulöschen|extinguish|
baron|baron|
bedenklich|questionable|
begründe|is founded|
bekehrst|art converted|
bezeuge|testify|
buß|Buss|
einkommen|income|
empfehle|recommend|
erfinderin|inventor|
erpresst|blackmailed|
euro|euro|
exakt|exactly|
fiktion|fiction|
forsch|research|
fraktal|fractal|
gabe|gift|
gebäuden|buildings|
gedeutet|interpreted|
gegessen|eaten|
gehorchst|obey|
Germania|Germania|
gestreift|striped|
gestrig|yesterday's|
gezahlt|paid|
gezüchtet|cultured|
habt|have|
hauslehrer|home teacher|
heeren|harry|
heile|Heal|
hemmst|hemmst|
hochachte|high eighth|
Hochschulen|Universities|
hübsches|pretty|
josefin|josefin|
juristin|Lawyer|
kletterst|climb|
literarisch|literary|
marisa|marisa|
mitschüler|classmate|
nachdrücke|Reprints|
niedrigst|lowest|
notierst|write down|
packte|packed|
pfeil|arrow|
quarks|quarks|
reinheit|purity|
santes|esting|
schurz|apron|
schwall|surge|
schütteln|shake|
schüttelst|shake|
sekreten|secretions|
smaragd|emerald|
solls|heck|
sprang|jumped|
staune|marvel|
stefan|stefan|
tanz|dance|
treffend|apt|
umkreis|perimeter|
verankerst|cause kerst|
vernahm|heard|
verursache|causes|
vornahm|undertook|
vorschreibe|prescriptive|
wassern|waters|
wiederfinde|re-think|
winken|wave|
wollust|lust|
zeh|toe|
zugelegt|gained|
zurückhalte|hold back|
augenbraue|eyebrow|
betätige|operated|
Bundesländer|States|
christianisieren|Christianize|
dubois|dubois|
entmutige|discourage|
entrücke|entrücke|
entzünde|kindle|
höflich|polite|
hüfte|hip|
klammere|cling|
missachte|disregard|
mitreise|A Journey|
naiv|naive|
perser|Persian|
qualifiziere|qualifying|
schillernd|iridescent|
Schlesien|Silesia|
sohle|sole|
teuflisch|devilish|
ungehörig|improper|
verneine|deny|
verspäte|be late|
wunderlich|strange|
amtiere|amtiere|
analyse|analysis|
anlage|plant|
arabern|arabs|
arbeitskräfte|labor|
attribut|attribute|
aufeinander|each other|
aufmache|open my|
Aufschwung|Recovery|
aufsicht|supervision|
ausfliege|ausfliege|
ausübe|Performers|
bearbeitung|processing|
bekanntgebt|known to give|
berger|berger|
bernhard|bernhard|
betreffende|concerned|
bitter|bitter|
bitterkeit|bitterness|
bucht|bay|
Bundestag|Bundestag|
bürgern|citizens|
demonstrari|demonstrari|
distanzierst|distanzierst|
drin|in it|
eigens|specifically|
einflüsse|influences|
einzudringen|penetrate|
entspr|corr|
entwaffne|disarm|
erlösche|extinguished|
erwache|wake up|
erwähne|mention|
fehl|fails|
gebühr|fee|
gehirn|brain|
gemütlich|comfortable|
gestehst|confess|
gewerkschaften|unions|
gewisses|some|
gewähre|grant|
gier|greed|
glas|glass|
gleicht|like|
gottesdienst|service|
Großmacht|Superpower|
gärtner|gardener|
halbes|half|
hausmeier|home-Meier|
helmut|helmut|
hingen|hung|
hund|dog|
indira|indira|
industrialisiere|industrialisiere|
infiziere|infecting|
jahrtausenden|thousands of years|
kalender|calendar|
kalt|cold|
kelle|trowel|
konsequenz|consequence|
konstituiere|konstituiere|
kopiere|copy|
kreist|Circles|
lebe|live|
lehn|Then sit|
leine|leash|
missionen|emissions|
mozart|mozart|
nachbarschaft|neighborhood|
nachweis|proof|
persönlichkeiten|Personalities|
pfad|path|
plane|tarpaulin|
portugal|Portugal|
premier|premier|
primitive|primitive|
projekte|projects|
rechts|right|
reichstem|richest|
rose|rose|
rundlich|rounded|
schmerzlich|painful|
schwestern|sisters|
schüsse|Committees|
sekt|champagne|
siebzig|seventy|
sonderbar|strange|
strahlung|radiation|
systeme|systems|
tageszeit|daytime|
trainiere|train|
tröstlich|comforting|
türme|towers|
unerhört|outrageous|
unfruchtbar|infertile|
unruhen|unrest|
unterhält|maintains|
unternahmen|undertook|
unterrichts|teaching should|
unwissenheit|ignorance|
usw|etc|
van|van|
verallgemeinere|Generalize|
veranlaßt|causes|
verblüffst|amaze|
verbreitre|verbreitre|
Verdun|Verdun|
verehrer|admirer|
verfälschst|verfälschst|
verhöhne|mock|
verjünge|rejuvenated|
versen|verse|
verspotte|mock|
verstreue|verstreue|
vertausche|swap|
verwies|pointed|
vettel|hag|
vortag|day before|
vorüber|past|
widersprich|contradict|
zahn|tooth|
ökonom|economist|
überschuß|surplus|
abs|abs|
abtrünnig|apostate|
achtern|aft|
altar|altar|
anatol|anatol|
anreist|arrive|
anwachse|should grow as|
aufziehe|aufziehe|
auskenne|versed|
auswich|avoided|
auszuführen|run|
automation|automation|
bauwelt|bauwelt|
belauschst|belauschst|
beschützt|protected|
bürgermeisterin|mayoress|
chronisch|chronic|
dagewesen|been there|
dichtung|seal|
diktierst|diktierst|
division|division|
einbringe|transferring|
einschlafen|fall asleep|
einzutreten|enter|
elektronisch|electronic|
entgangen|escaped|
entließ|released|
entreiße|snatch|
entrinne|them escape|
erachtens|view|
erbeutest|plunder|
erbrach|vomited|
ergangen|issued|
erhalter|Sustainer|
erlief|erlief|
erprobst|erprobst|
errege|excite|
erscholl|rang out|
ersuchst|ersuchst|
fade|bland|
fanatisch|fanatic|
feiere|celebrate|
feig|cowardly|
feiger|cowardly|
festung|fortress|
fixierst|Lock to|
frucht|fruit|
gegossen|cast|
gejagt|chased|
gemahlin|wife|
germain|germain|
gewächse|plants|
großmütig|magnanimous|
harrys|harrys|
hausten|lived|
hell|light|
hieroglyphe|hieroglyph|
hinderns|hinderns|
hungre|am hungry|
inhalte|contents|
japanisch|Japanese|
journale|journals|
kennenzulernen|know|
klopfst|knock|
kommunistin|Communist|
konstantinopel|Constantinople|
korrekt|correctly|
kühl|cool|
lausche|listen|
löschst|delete|
manifestierst|manifesting|
mitzuteilen|communicate|
mobile|mobile|
mysteriös|mysterious|
mündlich|orally|
neige|tend|
Neutralist|Neutralist|
oval|oval|
paläste|palaces|
philip|philip|
preisgab|abandoned|
professionell|professional|
psychologischem|psychological|
ritt|ride|
roch|smelt|
salate|salads|
schatze|sweethearts|
schenken|give|
schmeichele|flatter|
schriftstellerin|authoress|
schwingst|swing|
schwärze|blackness|
schären|archipelago|
siebzehnte|seventeenth|
sonnenaufgang|sunrise|
spektakel|spectacle|
sportlich|athletic|
staatsrechtler|constitutional law|
stift|pin|
stünde|would|
synode|synod|
tadeln|reprimand|
tschechoslowakei|czechoslovakia|
ungestört|undisturbed|
unterziehe|in to it|
unwissen|ignorance|
veranstaltern|tour operators|
verfahrende|traversed|
verfechte|advocating|
verstarb|died|
vorahnst|vorahnst|
weises|wise|
widerstehe|resist|
wortlaut|wording|
wurzel|root|
wärmst|are warming|
zelte|isolated|
zeltes|tabernacle|
zugetan|devoted|
zurückgab|returned|
zusammenkomme|get together|
zäh|tough|
malfoy|malfoy|
Pallas|Pallas|
abstamme|descended|
alsdann|then|
andres|andres|
auslieferer|Vehicle Transport|
aussetze|intermittent|
befriede|Pacify|
benachrichtige|notify|
beschied|summoned|
bestatte|bestatte|
besänftige|appease|
binnen|within|
boot|boat|
braun|brown|
dämmerig|dim|
entschärfe|defuse|
erziehe|educate|
euer|your|
geste|gesture|
hinterlege|lie behind|
indien|India|
initiiere|Initiate|
kaltblüter|cold-blooded|
komplett|complete|
komponiere|compose|
konsolidiere|consolidating|
LUDI|LUDI|
manipuliere|manipulative|
mittels|through|
nominiere|nominate|
platziere|Place|
porti|porti|
post|post|
protest|protest|
raus|out|
remus|remus|
schau|show|
schicker|chic|
schreins|Shrine|
schwinden|vanish|
umhin|help|
undankbare|thankless|
unfall|accident|
verbitterns|verbitterns|
verdeutliche|verdeutliche|
verhaltende|behaving|
verheimlichen|conceal|
verriegele|verriegele|
verschmähe|disdain|
verstopfe|verstopfe|
verstrickst|snared|
vertuschen|hush up|
verwünsche|curse|
videos|videos|
wiederbelebe|reviving|
wildern|poach|
wissenschaftlich|scientific|
zentral|centrally|
zutiefst|deeply|
zögern|hesitate|
züchtiger|chaste|
abendländer|Occidental|
abschreiben|write off|
amüsant|amusing|
andenken|memory|
angesiedelt|located|
angezogen|attracted|
anzugeben|indicate|
anzugreifen|attack|
arbeitende|working|
argentinien|Argentina|
aufrief|calling|
ausbrach|broke out|
ausfalle|sally|
austritt|exit|
autonom|autonomous|
bang|bang|
beehrst|beehrst|
beeilst|hurry|
befahl|ordered|
begrub|buried|
begrüß|wel|
bestritt|denied|
bewusst|aware|
bräuche|need your|
bösartig|malignant|
chemischem|chemical|
dahingehe|then go|
disziplin|discipline|
drüben|over|
einbreche|break into your|
eingeboren|indigenous|
eisern|iron|
elegant|elegant|
empfänglich|receptive|
entnehme|taken from|
erblich|hereditary|
erzog|educated|
FDP|FDP|
fertigkeit|skill|
fetzen|tatters|
fuße|the foot|
gebrochene|broken|
gedränge|crowd|
gefüge|structure|
gegraben|excavated|
geistern|haunt|
geladen|loaded|
gepriesen|blessed|
gerd|gerd|
gesessen|sat|
gestärkt|strengthened|
gleichmaß|symmetry|
gnädig|gracious|
griechin|Greek|
grimmig|grim|
gönnst|grudge|
hastig|hastily|
heranwachse|may grow|
horace|horace|
interessantes|interesting|
interesses|interest|
kaputt|broken|
konstant|constant|
kurse|courses|
käuflich|for sale|
köchen|chefs|
legender|deliberative|
lehrerin|teacher|
leibe|Physical|
lenkst|lenkst|
loyal|loyal|
meisterst|mastering|
mittelalter|Middle Ages|
nachgebe|give in|
naturell|disposition|
panter|panther|
patrice|patrice|
peitsche|whip|
philipps|philipps|
phönix|Phoenix|
probierst|try on|
pythagoras|pythagoras|
rast|rest|
raucht|smokes|
reifer|mature|
repräsentant|representative|
rückschlag|setback|
scham|shame|
schlachte|slaughter|
schmieden|forge|
Schröder|Schroeder|
schwankst|stagger|
schärfens|sharpening|
seltenst|rarest|
senate|senate|
Siegern|Winners|
sinnlos|meaningless|
sophia|sophia|
standhalte|was holding|
stratege|strategist|
studentin|student|
stuhle|Chairs|
stäbchen|rod|
tanzende|dancing|
tauber|Deaf|
triumphe|triumphe|
ulrich|ulrich|
verletze|violated|
vorbeiziehe|pull over|
vorzubereiten|prepare|
wandeln|change|
weggenommen|removed|
weitergebe|give further|
wertem|real contribution|
würdest|would|
zahlenmäßig|numerical|
zar|zar|
zurückgeblieben|retarded|
zurückweiche|back soft|
zusammenbringe|bring together|
ökologie|ecology|
übertroffen|exceeded|
altmodisch|old-fashioned|
beaufsichtige|supervise|
befriste|befriste|
befruchte|fertilize|
begutachte|evaluating for|
behaglich|comfortable|
bejahrt|aged|
belehrst|teachest|
beschwichtige|appeasing|
einquartiere|einquartiere|
elastisch|elastic|
erdichte|erdichte|
ergründe|fathom|
erschlaffe|erschlaffe|
explodiere|explode|
fauler|lazy|
fokussiere|focusing|
fragwürdig|questionable|
genügsam|frugal|
installiere|Install|
investiere|investing|
konfrontiere|confront|
konvertiere|convert|
korinth|corinth|
kultiviere|cultivate|
motiviere|motivate|
nachforsche|nachforsche|
nachprüfe|nachprüfe|
nickt|nods|
reaktiviere|reactivate|
schwindelig|dizzy|
sterilisiere|Sterilize|
sympathisch|sympathetic|
unwillkürlich|involuntarily|
vereidige|vereidige|
verlangsame|slowing|
verpfände|pledge|
versiegen|dry up|
vervielfältige|vervielfältige|
widerwärtig|offensive|
zeremonie|ceremony|
überschätze|overestimate|
abgang|departure|
abgebe|abgebe|
achte|eighth|
achtzig|eighty|
akzent|accent|
amtierendem|reigning|
anlagen|facilities|
anmeldung|application|
ansatz|approach|
aufbringe|muster|
aufbruch|departure|
beethoven|beethoven|
begebenheit|incident|
beides|both|
belohn|belohn|
besitzers|owner|
bett|bed|
beutel|bag|
blockade|blockade|
bonne|bonne|
branch|branch|
brille|glasses|
brüdern|brothers|
buche|beech|
Bürgertum|Bourgeoisie|
chemiker|chemist|
chemin|chemin|
dahinten|behind|
demjenigen|that of|
dom|cathedral|
drache|dragon|
durchdrang|penetrated|
egoismen|egoism|
einspruch|objection|
eintracht|concord|
einzeln|individually|
eisenbahn|railroad|
elefant|elephant|
entwurf|design|
erfindens|Inventing|
ermittlung|determination|
ernte|harvest|
erwar|expected|
erweist|turns out|
erzbischof|archbishop|
etappe|stage|
europäer|European|
experte|expert|
fakt|fact|
fließt|flows|
fluß|flow|
fragil|fragile|
freiburg|Freiburg|
gebäudes|building|
gesang|singing|
globalisieren|globalize|
glücks|luck|
goethe|Goethe|
grothe|grothe|
gründens|gründens|
hauptmann|captain|
hauptteil|bulk|
haustür|front door|
herbe|harsh|
hindernisse|obstacles|
horn|horn|
indonesia|indonesia|
Inhaltsverzeichnis|Contents|
ire|ire|
italiens|italy|
Joachim|Joachim|
kanaan|Canaan|
kapitulation|surrender|
kilometern|kilometers|
knote|knot|
kröne|crown|
kugel|ball|
kundgab|manifested|
käufe|purchases|
küsse|kiss|
lübeck|Lubeck|
marke|brand|
metern|meters|
nachbar|neighbor|
Neuerung|Innovation|
norbert|norbert|
normale|normal|
operationen|operations|
privat|private|
produkte|products|
präge|Embossed|
präsidentin|President|
Regelungen|Regulations|
regent|regent|
rhythmus|rhythm|
schaf|sheep|
schrei|cry|
schubert|schubert|
sonnst|bask|
spateln|spatulate|
spekulation|speculation|
stellungnahme|opinion|
stößt|encounters|
stühle|chairs|
tante|aunt|
tauch|dip|
tschechischem|Czech|
unterem|lower|
verbindern|connectors|
verdienst|merit|
verläufe|progressions|
vermittle|mediate|
vermittlung|mediation|
vorgegangen|The procedure|
vorsprung|lead|
vorwiegend|mainly|
wappen|coat of arms|
weihnacht|Christmas|
yorker|yorker|
zeitgenosse|contemporary|
zivilisation|civilization|
zurückhaltung|restraint|
zusammenhängendem|contiguous|
zuständigkeit|jurisdiction|
zutage|revealed|
zweig|branch|
zweitausend|two thousand|
zwischenzeit|interim|
zürich|Zurich|
ärzte|doctors|
abspiele|PLA|
aktualisiere|update|
angewöhne|angewöhne|
anspiele|allude|
archiviere|keep a collection of|
ausdünne|ausdünne|
ausgesagt|testified|
auslösche|extinguish|
beratschlage|beratschlage|
bezwecke|INTENDED|
blamiere|disgrace|
brillante|brilliant|
debattiere|debating|
dementiere|dementiere|
durchbohre|pierce|
durchflute|by flute|
durchlöchere|by löchere|
einverleibe|einverleibe|
enteigne|expropriating|
entleere|deflate|
entlehne|borrow|
enttarne|enttarne|
ermächtige|authorize|
erträume|dream up|
germanin|Germanin|
gewichtig|weighty|
hysterisch|hysterical|
improvisiere|improvise|
inspizient|stage manager|
konzipiere|conceive|
maskiere|Mask|
modernisiere|revamp|
modifiziere|modify|
Narziss|Narcissus|
pedantisch|pedantic|
popularisiere|popularisiere|
propagiere|propagating|
reproduziere|reproduce|
restauriere|restaurate|
rhythmisch|rhythmic|
schramek|Schramek|
suspendiere|was suspending|
säkularisiere|secularizes|
territoriale|Territorial|
transportiere|transporting|
unbrauchbar|unusable|
unermüdlich|tirelessly|
unzugänglich|inaccessible|
verdichte|condense|
vergegenwärtige|Realize|
verhungere|starve|
verkrüppele|verkrüppele|
verrechne|charge you|
verspiele|gamble|
verunglimpfe|denigrates|
verunstalte|disfiguring|
verweichliche|verweichliche|
verwinde|verwinde|
verärgere|annoy|
zerdrückst|zerdrückst|
überdache|about dache|
überfliege|skim|
abgefallen|fallen|
angerufen|called|
angesagt|announced|
angetreten|taken up|
anhaltende|continued|
anruf|call|
anzutreffen|to meet|
apparat|apparatus|
archäologe|archaeologist|
aufsatz|essay|
aufschloß|unlocked|
ausgeschieden|excreted|
auslöst|triggers|
ausnehme|excludes|
ausstellst|ausstellst|
ausweichen|dodge|
auszusprechen|express|
barbie|Barbie|
baustein|building block|
becher|cup|
bedauern|regret|
befehlshaber|commander|
beharrst|persist|
beschnitt|circumcised|
bückst|stoopest|
claudias|claudias|
darzustellen|show|
