quizGroup type="WordMapping" promptType="English word" responseType="German word" currentPromptNumber="0"
perhaps|vielleicht
dismayed|entsetze
finely|feinst
poems|gedichten
act of violence|gewalttat
assimilates|gleichstelle
produced|hergestellt/hervorgebracht
crownest|krönst
instructive|lehrreich
lover|liebhaber
urging|nötigend
obvious|offenkundig
fun|spaß
pocket|tasche
bottom|tiefstem
deceptive|trügerisch
underwent|unterlief/unterzog/durchlief
anticipation|vorgefühl
willing|williges/gewillt
Ottoman|osmanische
paintings|gemälden
nobility|adel
floated|geschwebt
living situation|lebenslage
mediocre|mittelmäßig
retiring|abtrete
arrival|ankunft
encountered|antraf/gestoßen
cease|aufhörst/aufhöre
apart|auseinander
information|auskunft
advices|belege
leaf|blatt
Pfandbriefe|briefen
democrat|demokrat
breakthrough|durchbruch
Danish|dänisch
hurry|beeilst/eile
burglary|einbruch
occupy|einnehme
arrived|eintraf/eingetroffen
devised|ersann
the skies|erschaff
legally|rechtlich/erweise/gesetzlich
exile|exil
held|festgehalten/ausgetragen/abgehalten/festhielt/stattfand
like you|gefällst
polished|geschliffen
craft|handwerk
wedding|hochzeit
identical|identisch
instruments|instrumente
contact|kontakt
queen|königin
loosely|locker
perspective|perspektive
production|produktion
regulates|regelt
sink|senke
sing|singe
materials|stoffe
panel|tafel
table|tisch/tabelle
separates|trennt
unbelief|unglaube
unchanged|unverändert
contempt|verachtung
bandaged|verbundenem
earn|verdien
negotiate|verhandle
hiding place|versteck
management|verwaltung
sea ​​world|weltmeer
contradiction|widerspruch
quote|zitat
specify|angeben
Clip-on|anliege
estate|anwesen
extended|ausgedehnt
making up|ausmache
served|bediente/gedient
enclose|beilegen
Briton|brite
colorful|bunte
asleep|entschlief/eingeschlafen
gratifying|erfreulich
devoted|ergebene/zugetan
will achieve|erzielst
radioed|funkten
patient|geduldig
traded|gehandelt
enjoy|genieße
get married|heiratest
on this|hierauf
hats|hüte
lovable|liebenswert
profile|profil
presenting|vorlege/präsentiere
collects|sammelt
flatter|schmeichele/schmeicheln
such|solches
impatience|ungeduld
understandable|verständlich
come back|wiederkomme
civilian|zivile/zivilist
by seeking|durchsuche
bare|entblöße
fleshy|fleischig
planed|gehobelt
identified|identifiziere
manifold|mannigfach
homeland|vaterland
rape|vergewaltige
along|entlang
reference|hinweis/bezug
competition|konkurrenz/wettbewerb
loves|liebet
wage|lohn
in the morning|morgens
survey|übersicht/mustern
Bohemian|Böhme
classed|einstufe
pile|flor
florence|florenz
instinct|instinkt
mathematics|mathematik
priestess|priesterin
unworthy|unwürdig
spoiled|verdorben/verdarb
armies|armeen
observation|beobachtung
humble|demütiger/demütig
German-speaking|deutschsprachig
demon|dämon
honorably|ehrenvoll
flutter|flattern
yap|gekläff
kneel|niederknie/knien
devastating war|kriegsheer
Monarchies|monarchien
operational|operativ
per|pro
oblique|schräg
Swede|schwede
shoot|spross/schießen
structurally|strukturell
stumps|stummeln
Syria|syrien
swapping|tauschst
door|tür/türe
undesirable|unerwünscht
awkwardness|ungeschicks
unlikely|unwahrscheinlich
prohibited|verbotenem
exemplary|beispielhaft/vorbildlich
madness|wahnsinn
Being|wesens
aversion|widerwille
economic policy|wirtschaftspolitik
applied|aufgetragen/angewandt/bewarb
log on|anmelden
Asian|asiatischem
give up|aufgebe
compliance|beachtung
Affected by|betreff
respectively|beziehungsweise
offered|anbot/bot
bridge|brücke
thick|dick
sunken|eingefallen
inhabitants,|einwohnern
It saves|erspar
find|aufzufinden/finde
Curses|flüche
released|freigelassen/entließ
promoted|gefördert
against player|gegenspieler
marked|gekennzeichnet
smooth|glattem/glatt
grandfather|großvater
favorable|befürworte/günstig
industry|industrie
hole|loch
London|londoner
prime minister|ministerpräsident
story|märchen
in reality|realiter
counting on|rechnest
strike|schlägst
sixty|sechzig
are descended|stammst
steady|stetig
pond|teich
surrounding|umliegende/umgebe
clubs|vereine
dispose|verfüge/entsorge
Fade|vergeh
destruction|vernichtung
UNDERSTAND|verständen
lecture|vortrag
anger|ärgers/ärger/zorn
invaded|überfiel
survivor|überlebende
dramatic|dramatisch
sensation|empfindung
received|eingegangen/empfing
refresh|erfrische
solemn|feierliche
mechanically|mechanisch
distrust|mißtrauen
mobilize|mobilisiere
smuggling|schmuggel
present|zugegen/vorzustellen
knowing|wissende
doubtful|zweifelhaft
initial sound|anlaut
hopeless|aussichtslos
exchange|austausch/auszutauschen
concerned|betraf/betreffende
SATE|bundesstaat
delegate|delegiere
endless|endlose
fold|falte
hospitable factor|gastgebend
purchased|gekauft
scholarship|gelehrsamkeit
gifts|geschenke
legislative|gesetzgebend
Yugoslav|jugoslawe
bold|verwegen/kühn
paint|malen
substantive|materiellem
music|musiken/noten
approach|ansatz/nähern
speaker|redner
navigable|schiffbar
mortal|sterblich
talents|talente
drank|trank
mourning|trauer
sluggish|träg
tones|töne
go under|untergehe
assigned|vergebene/zugewiesen/zugeteilt
revealed|verriet/zutage
, virtues|vorzüge
Wizards|zauberern
get back|zurückkomme/zurückbekomme
hesitation|zögerns
comment|äußern
practice|üben/übe
supernatant|überstand
supervise|überwache/beaufsichtige
exceptionally|außergewöhnlich
ended|geendet
indifferent|gleichgültig
gods of|göttern
afterwards|hernach
kind|liebenswürdig/gütig
justifies|rechtfertige
reserve|reserviere
stir|rühren
indispensable|unentbehrlich
underestimated|unterschätze
ancient|uralt
fall silent|verstumme
confuse|verwechsele
advertise|werben
arrangement|anordnung
acquisition|erwerb
chain|kette
cunning|list
riddle|rätsel
salt|salz
jump|springe/sprung
residues|stände
election|wahlen
tools|werkzeuge
expiration|ablauf
application|anmeldung/gesuch/anwendung
Arabic|arabischem
compensate|auszugleichen
apply|anzuwenden/beantrage
Basin|beckens
treat|behandle
very well|bestens
little|bischen/bißchen
define|definiere
Dared|dürft
included|eingeschlossen
registered|eingetragen
uniformly|einheitlich
harmony|einklang
unanimously|einstimmig
ANSWER|entgegne
will learn|erlerne
acquire|erwerbe
eternity|ewigkeit
window|fenster
volatile|flüchtig
early time|frühzeit
approved|gebilligt
fled|geflohen/geflüchtet
device|gerät
shaping|gestaltung
waved|gewinkt
goods|güter
ongoing for|hinziehe
industrial|industriell
staging|inszeniere
box|kasten/kästchen
petty|kleinlich
noon|mittag
Decline|Niedergang
surgeries|praxen
shy|schüchtern/scheu/scheue
slumber|schlummer
game|partie/spiels/spieles
instead|stattdessen
stretch|streck
Symbols|symbole
sweetness|süßigkeit
tactics|taktik
dance|tanze/tanz
traditions|traditionen
separate|trenne
ity|tät
converted|umgewandelt
infallible|unfehlbar
agent|vertreterin
bird|vogel
preferred|vorgezogen
wave|winken/welle
worlds|welten
was raging|wüte
ten thousand|zehntausend
concession|zugeständnis/konzession
collapsed|zusammenbrach
composed|zusammensetzt
stimulated|angeregt
occasion|anlass
Revolts|aufstände
cheers|beifall
add|beigeben/addieren/füge/hinzufüge
confess|gestehst/gestehe/bekenn/bekennst
contest|bestreite/wettstreit
flowering|blühende
brown|braune/braun
those|denjenigen
by going|durchgehe
dozen|dutzend
villages|dörfer
impressions|eindrücke
heater|erhitzer
accessible|erreichbar
rock|felsen
refugee|flüchtling
crowd|gedränge/gewühl
Happy|glückliches
grace|gnade
limitless|grenzenlos
Homes|häuser
quintessence|inbegriff
contents|inhalten/inhalte
consistently|konsequent
corrupt|verderbt/korrupt
paints|malt
registering|registrierst
ruble|rubels
deterrent|schreckende
ashamed|schämst
Socialist|sozialistin
brush past|streifst
Thuringia|Thüringen
Turk|türke/türkin
undetermined|unbestimmt
Tend to|versorge
in front|vorn
awake|wach
when|wann
opening|öffnung/eröffnung
serenity|heiterkeit
decent|anständig
Empower|befähige
cautious|behutsam
bombarding|bombardiere
invalidate|entkräfte
decipher|entziffere
ravish|entzücke
inquire|erkundige
evacuate|evakuiere
whisper|geflüster/flüstern
joyfully|freudig
recruit|rekrut/rekrutiere
only ripple|riesele
incredulous|ungläubig
on the way|unterwegs
fade away|verblasse
darken|verdunkele
immortalize|verewige
persevere|verharre
conceals|verschleiere
stow|verstaue
delayed|gezögert/verzöger
superstition|aberglaube
abstruse|abseitig
archives|archiv
visited|aufgesucht
upset|aufrege/aufregst
erupting|ausbreche
trigger|auslösen
serving them|bedienst
threatening|bedrohlich/bedrohe
affect|beeinträchtige
amounts|betragt
GDR|ddr
director|regisseur/direktor
documents|dokumente
designed|entworfen/entwarf
work out|erarbeite
behold|erblickst
admonish|ermahnst
reimbursed|erstatte
contemplate|erwägst
falcon|falk
wings|flügeln
requirements|forderungen
birthday|geburtstag
combed|gekämmt
just as|genauso
dashed|gestrichelt
a sense|gewissermaßen
wanted|gewollt/wolltest
good-natured|gutmütig
harmless|harmloses/harmlos
editorial|herausgebe
illegally|illegal
inform|informiere
bone|knochen
crumbs|krumen
humorous|launig
billion|milliarden
Moscow|moskau
anyway|ohnehin
Parliamentary|parlamentarische
perfect|perfekte/tadellos
regents|regenten
richest|reichstem/reichst
renovate|renoviere
repair|repariere
revolutionize|revolutionieren
romantic|romantisch
withdrawal|rückzug
fabulous|sagenhaft
fates|schicksale
sip|schluck
harms|schädige
sexually|sexuell
stabilize|stabilisiere
instead of giving|stattgebe
strive|streben
disturbance|störung
rates|sätze
expensive|teuer/teure
costume|tracht
Dreaming|träumend
signing|unterzeichne/unterzeichnung
associate|verbinde
spends a|verbring
simplify|vereinfache
reinforcing|verstärke
managers|verwaltern
blur|verwische
consume|verzehre
preview|vorschau
alarm clock|wecker
weigh|wiegst
welcome|willkommen
possibly|womöglich/eventuell
generators|zeuger
stay behind|zurückbleibe
bridging|überbrücke
reprove|überführe
overtake|überholst
transgressed|übertrat
academy|akademie
Offering|anbiete
equipped|ausgerüstet/ausgestattet
foreigner|ausländer/ausländerin
reserves|behält/reserven
confession|gebeichtet/beichte
burden|belaste
brother '|bruders
elements|elemente
Yield to|ergib
continuing|fortgesetzt
gene|gen
judicial|gerichtlich
fret|greifst
background|hintergrund
season|spielzeit/jahreszeit
everyone|jedermann
conference|konferenz
cows|kühe
joints|lenke
at night|nachts
parliaments|parlamente
checks|prüft
resignation|rücktritt
hall|saal
velvet|sammet
series|serie
stages|stadien
congestion|stau
undermined|untergrub
alleged|mutmaßliche/vermeintliche
Front|vorne
priority|vorrang/priorität
tongue|zunge
stop|stoppen/aufzuhalten/anschlag
dwellers|bewohnern
enjoys|genießt
purchase|kauf
eve|vorabend
unaware|ahnungslos
take possession of|bemächtige
disadvantage|benachteilige
discriminates|diskriminiere
dynamic|dynamisch
influential|einflussreich
invitation|einladung
was sending|entsende
go blind|erblinde
Calculate|errechne
frightened|erschrak
tolerable|erträgliche
discuss|bespreche/erörtere
fantastic|fantastisch/traumhaft
vow|geloben/gelübde
heavenly|himmlischem
inspire|inspiriere
capitulate|kapituliere
coordinating|koordiniere
corrupts|korrumpiere
copper|kupfer
cool|kühl/kühle
secluded|abgeschieden/lauschig
loosen|lockern
milder|mildere
was operating|operiere
obligations|pflichten
splendor|pracht
privatize|privatisiere
disgraceful|schändlich
spotlight|strahler
scatter|streuen
embrace|umarmst
accounted for|entfiel/verbuche
shortening|verkürze
diminish|vermindere
Sending|verschicke
Interlock|verschränke
versatile|vielseitig
truly|wahrhaft
overcharge|überlade
stay overnight|übernachte
translate|übersetze
converging on|überstürze
canceled|abgebrochen
threw off|abwarf
offering|anbietens
tackle|angehen
breath|atem/atemzug
prepared|ausgearbeitet
expressed|ausgedrückt/geäußert
proclaimed|ausgerufen
authentic|authentisch
confine|begnüge
stretchest|dehnst
dialect|dialekt
installs display|einrichte
one-sided|einseitig
encyclopedia|enzyklopädie
barrel|faß
fixed stellst|feststellst
fruits|früchten/früchte
gate|gatter/tor/pforte
Bits|gebisse
drivel|gefasel
dreamed of|geträumt
any time|jederzeit
composer|komponist
herald|künder
lands|landet
long-term|langfristig
magistral|magistrale
machine|maschine
seas|meere
metals|metalle
nervous|nervös
North Sea|nordsee
next time|nächstens
privilege|privileg
cleanse|reinigst
beef|rind
stirred|rührt
armor|rüstung
shot|schoß/schoss
shout|schreie
taking place|stattfinde
steep|steil
donate|stiften
strikes|streiks
rope|strick
inevitable|unvermeidlich/unumgänglich
Venice|venedig
processors|verarbeitern
conjecture|vermutung
host|wirt
cell|zelle
breeding|züchte/züchtens/zucht
economically|ökonomisch/wirtschaftlich
hermione|hermine
differentially|differenziell
academic|akademisch
inflated|aufgeblasen
failed|schei/ausgefallen/unterließ
harboring|beherberge
enriching|bereichernd
taxing|besteuere
cloud over|bewölken
chaotic|chaotisch
degrading|degradiere
would consent|einwillige
slip away|vergehst/entwische
brighten|erhellst
torture|foltern
remember|entsinne/gedenke
put out|herausstelle
would have|hättest
import|importiere
complete|vollzählig/komplette/komplett
mat|matt
naked|nackte
Reich Chancellery|Reichskanzlei
sparse|spärlich
insatiable|unersättlich
uncommonly|ungemein
unlearn|verlerne
Take care of|verpflege
confidential|vertraulich
before going|vorhergehe
would live|weiterlebe
conjure|zaubern
affairs|angelegenheiten
indictment|anklage
instructions|anweisungen
unset|aufhebst
exceptions|ausnahmen
authors|autoren
swim|baden/schwimme
mountain|berg
restriction|beschränkung
bishops|bischöfe
dione|dion
dynamics|dynamik
impart|erteile
promotion|förderung
gesture|gebärde/geste
creature|kreatur
toad|kröte
pattern|muster
emphasis|betonung/nachdruck
slogan|parole
principle|prinzip
account|rechnung
stimulates|regt
attractive|reizvoll/reiz
resource|ressource
the time|seinerzeit
Stopped|stillst
throne|thron
Embrace|umarm
nonsense|unsinn/unfug
represents|vertritt
tool|werkzeug
joke|scherze/witz
long time|zeitlang
joined together|zusammenschloß
Zwinglian|zwingli
era|ära
scraped off|abgeschabt
abstract|abstrakt
assimilate|assimiliere
exciting|aufregendem
by lying|beigelegen
envy|beneidest/neid/beneide
bed|betten/bett
awareness|bewußtsein/bewusstsein
fragrant|duftend
dune|düne
unique|einzigartig/einmalig
monotonous|eintönig/monoton
Grow in|erkämpfe
fixed set|festsetze
photograph|fotografieren
nourished|genährt
Constitution|Grundgesetz
hopefully|hoffnungsvoll
lightly|leichtfertig
practicing|praktiziere
provocation|provokation
on time|pünktlich
tailor|schneidern
stubborn|störrisch
unattainable|unerreichbar
unfavorable|ungünstig/unvorteilhaft
invaluable|unschätzbar
cope any|verkrafte
relocating|verlagernd
Beat up|verprügele
absorbed|versunken
wither|verwelke
contemptuously|verächtlich
Forest|Walde/waldes
further|wei
restore to man|wiedererlange
flew over|überflog
about mittele|übermittele
levels decreased|absank
Office|Amtsantritt
Once|angekommen
be superior|angelegene
rewarding work|arbeitslohn
convenient|bequem
employment|beschäftigung
enforce|durchzusetzen
adjusting|einstelle
incident|zwischenfall/begebenheit/vorfall/eintreffe
decisions|entschlüsse
raise up|erwecke
version|fassung
lane|gasse
required|vorgeschrieben/gefordert
applicable|geltende
Historians|Geschichtsschreiber
ruler|herrscherin
rear|hinterem
backgrounds|hintergründe
coalition|koalition
complex|komplex
conventional|herkömmlich/konventionell
marketplace|marktplatz
underage|minderjährig
models|modelle/modellen
natural|natürliches
Dutch|niederländisch
passive|passiv
decreasing|sinke
gates|tore
total|totale
underground|unterirdisch
prehistory|vorgeschichte
proposals|vorschläge
hike|wanderung
weeps|weint
reluctant|widerstrebe
surprise|wundern
beautiful|schone/wunderschön
testifies|zeugt
granted|gegönnt/zugestanden
confidence|zuversicht
errors|fehlern
passionate|leidenschaftliche
eighteen|achtzehn
First|allererst
grow up|aufwachse
can be poured|ausschank
unconditional|bedingungslose
Belgian|belgische
Federal government|bundesregierung
Ignite|entfache
celebration|feier
fiery|feurig
continues to carry on|fortführe
heated|geheizt
annoyed|genervt
gender|geschlechts
Vestments|Gewänder
desired|gewünschte
handwriting|handschrift
over|herüber/hinüber/übers/drüben
snooty|hochnäsig
miserably|kläglich
compensating|kompensiere
life's work|lebenswerk
emptying|leerend
screen|leinwand
melancholy|melancholie/schwermut
nail|nagels
optimistic|optimistisch
patriotic|patriotische
proclaim|verkünde/proklamiere
reconstruct|rekonstruiere
revise|revidiere
russia|russlands
ornamental|schmücke
shred|schnitzeln
specific|spezifisch
dumb|stumm
faithful|treuer
comprehensive|umfassendem
disobedient|ungehorsam
unapproachable|unnahbar
inconspicuous|unauffällig/unscheinbar
unfit|untauglich
neglect|versäumst/versäume
Taking a further|weiterbilde
win back|zurückerobere
add together|zusammenfüge
on demand|überfordere
hear about|überhöre
pour|schütten/gieß
Afghan|afghanisch
arranged|angeordnet
attached low|anhängerin
impetus|anstoß
assassination|attentat
endurance|ausdauer
eradicated|ausgerottet
the outside world|außenwelt
ordered|befahl/befohlen
calm down|beruhig
visitor|besucher
libraries|bibliotheken
flourish|blühe
accordingly|dementsprechend
service providers|dienstleister
thirty years old|dreißigjährig
couple|ehepaar
unauthorized|unerlaubt/eigenmächtig
exchanged|eingetauscht
trade|fach
keep away|fernhalte
aircraft|flugzeuge
formally|formell
was continued|fortgalt
photographer|fotograf
biscuits|gebäck
printed|gedruckt
areas|gegenden
opposites|gegensätze/gegensätzlichem
drunk|betrunken/getrunken
migrated|gewandert
hatred|hass/haß
brighter|heller
sky|himmels
deer|hirsch
Historian|Historikerin
homosexual|homosexuell
able|imstande
unstable|instabil
capital was|kapitäls
crystal|kristall
lean|mager
milk|milch
transmit|mitteln
mumble|murmelst
surface|oberfläche
intoxication|rausch
recipe|rezept
Rhine|rheinisch/rhein
history|schichte
gorge|schlucht
sea ​​route|seeweg
speaking|spräche/sprechendem
substance|substanz
dew|tau
jinxed|verhext
reveals|verrät
Promise|versprich
truest|wahrst
admit|zugebe
facing|zugewandt
meet together|zusammentreffe
two hundred|zweihundert
compelling|zwingend
twelfth|zwölfte
exceeded|übertroffen/übertraf
again before|aufsehe
extension|ausbau
statement|aussage/ausspruch
revive|belebe
grant us|beschere
crept|beschlich/einschlich/schlich
remuneration|bezüge
fire|brand
brood|behütest/brut
date|datum
dictator|diktator
stupid|dumm/dumme
no matter|egal
invasion|einmarsch
inserts|einsätze
ice|eis
earthquake|erdbeben
insights|erkenntnisse
researcher|forscher
feed|speisen/futter
ed|hrsg
hundred thousand|hunderttausend
hill|anhöhe/hügel
core|kern
clothes|kleider
will yield|nachgebt
northeast|nordosten
race|wettlauf/rasse
calls|ruft
advises|rät
bill|schein
diary|tagebuch
texts|texte
Associations|verbände
predominance|vorherrschaft
was present|vorlag
period of time|zeitraum
central|zentraler/zentralem
the recorded|aufgezeichne
take off|ausziehe
, commands|bereitstelle
Obtain|beschaffe
blame|beschuldige
at present|derzeit
decimate the|dezimiere
honorable|ehrenhaft
hooked|eingehakt
invade|einmarschieren
Come from|entstamme
inherited|geerbt
aged|greis/betagt/bejahrt
came home|heimkam
hopelessly|hoffnungslos
Islamic|islamisch
chin|kinn
consuming|konsumiere
have health safe|krankenversichere
bray|kreische
psychologist|psychologe
jerk|rucken
rower|ruderin
painful|schmerzlich/schmerzvoll/schmerzhaft
cabinets|schränke
certainly imagine|sicherstelle
signaling|signalisiere
stylize|stilisieren
participation|teilhabe
dry|trockenem/trockene/dürr
opaque|undurchsichtig
unwavering|unerschütterlich
untenable|unhaltbar
universe|universum
undisputed|unumstritten/unbestritten
prescriptive|verordnend/vorschreibe
weldability|verschweiß
sprinkle|versprenge
lectures|vorlesungen/vorträge
cry|weinen/schrei/weinst/weine
befall|widerfahre
literally|wörtlich
magical|zauberhaft
retire|zurückziehe
sleeve|ärmel
pour over|überschütte
sympathize|mitfühle
gilders|vergoldern
by transverse|durchquere
caravan|karawane
meditate|meditiere
helpful|hilfsbereit/hilfreich/behilflich
pray|beten/betest
characteristics|charakteristik
Caesar|cäsar
defective|defekt
dipped|eintauche
explore|erkunde/erforschst/erforsche
cheeky|freche
mixture|gemisch
inclined|geneigt
ingenious|genial/geniales
sociable|gesellig
punished|gestraft
sawn|gesägt
hanging|hängend
camel|kamel
apparel|kleides
wiser|klüger
denial|leugnens
melody|melodie
pursuit|nacheile
embarrassing|peinliche/peinlich
advocate|plädiere
rests|ruht
seed|same
mused|sann
sixteenth|sechzehnte
perpendicular|senkrecht
spy|spionieren
strategically|strategisch
temples|tempeln
drips|tropft
uncomfortable|unbequem
unrecognized|unerkannt
useless|nutzlos/unnütz
thrashed|verdrosch
Reconcile|versöhne
go ahead|vorangehe/vorausgehe
ordination|weihe
further developed wrap|weiterentwickele
West German|westdeutsch
beckon|winkst
Gypsy|zigeunerin
been heard|zugehöre
put back|zurücklege
curb|zügeln
seconded|abgeordnet
discard|ablegst
act|akt
looked at|ansah
to close|anzuschließen
noticed|aufgefallen/auffiel
prompted|aufgefordert
edition|auflage
dissolve|aufzulösen
are expressing|ausdrückst
get along|auskomme
ax|axt
gang|bande
located|angesiedelt/befindlich
accession|beitritt
readiness|bereitschaft
Punish|bestraf
are running|betreibst
refer|beziehe
blind|blinde
civil war|bürgerkrieg
bureaucrat|bürokrat
installed|eingebaut
one before|einsehe
vanity|eitelkeit
replace|ersetze
open up|eröffne
euphoria|euphorie
celebrated|feierte
enemy,|feindin
campaign|feldzug
cemetery|friedhof
HB|frühst
blinded|geblendet
entered|getreten
targeted|gezielt
magnanimity|großmut
'd give|gäb
helpless|hilfloses/hilflos
hitler|hitlers
Keepers|hütern
cabinet|schrank/kabinett
bald|kahl
continuous|durchlauf/kontinuierlich
crusade|kreuzzug
store|lagern/abzulegen
praise|lob
holes|löcher
meal|mahlzeit
rough|rau
in time|rechtzeitig
puzzling|rätselhaft
review|bewerte/rückblick
proverbs|sprichwörter
permitted|statthaft/zulässig
for hours|stundenlang
sympathy|sympathie
Turkish|türkischem
surrounding countryside|umland
unnoticed|unbemerkt
unnecessary|unnötig
inadequate|unzulänglich/unzureichend
moveable|verfahr
discarded|verworfen
fourteen|vierzehn
empire|weltreich
by magic|zaubere
temporary|zeitweilig
overlaid|überzog
hast|habest
intimate|innig/intim
going away|verreise
Western Front|westfront
untied|abband
abbot|abt
otherwise|ansonsten
to suggest|anzudeuten
aristocracy|aristokratie
expenditure|aufwand/ausgaben
exchanges|austausche
station|bahnhof
biographer|biograph
chancellor|bundeskanzler/kanzler
chief|chef
more real|echtere
conceited|eingebildet
on the input|eintrieb
closest|engst
discharge|entladen
ride|ritt/fahrt
faulty|fehlerhaft
hostile|feindselig
hostilities|feindseligkeiten
flute|flöte
functional|funktionell
captivity|gefangenschaft
carved|geschnitzt
baptized|getauft
credible|glaubwürdig
whilst he|herbeiführe
came from|herkam
bring forth|hervorbringe
ports|häfen
hilly|hügelig
as a result|infolge
commissioners|kommissaren
cancel it|kündigst
invites|lädt
object|objekt
planet|planeten
program|programmieren/programm
ream|ries
knight|ritter
inconsiderate|rücksichtslos
clean|säubern/sauber/reinige
Cunning|schlaue
sharpen|schärfst
sinking|versinke/sinkst
starters|startern
stroke|strich
allegiance|treueid
bank|ufer
killed|umgebracht/ums/umgekommen
unlimited|unbegrenzt/unbeschränkt/uneingeschränkt
unintentional|ungewollt
undercutting|unterbot
under|unterm
unimportant|unwichtig
compares|vergleicht
ridiculed fruit|verlobst
renting|vermiete
cf|vgl
paternal|väterlich
weaver|weber
value|wertes
what|woran
Certificates|zeugnisse
Looking back|zurückblicke
additive|zusatz
cross over|überquere
ivory|elfenbein
dowels gently|endens
laminated|geschichtet
Camel driver|Kameltreiber
reminder|mahnung
adore|vergöttere
bow|bug/verneige
mapped|abgebildet
derived|abgeleitet
dropped|abgeworfen
replacing|ablöst
all kinds|allerhand
tenure|amtszeit
struck|zuschlug/anschlug
Struve to supervise|antrug
Selection|anwahl
indicate|anzug/anzugeben
pitched|aufgeschlagen
extinct|ausgestorben
exercised|ausgeübt
selection|auswahl
exploit|heldentat/auszunutzen
endorser|begebe
incidental|beiläufig/nebensächlich
assistance|beistand
advise|berate
beg|betteln
debate|debatte
definite|definit
three hundred|dreihundert
removal|entfernung
results|ergebnisse
up Memory|erschlag
start|fange
fresco|fresko
bent|gebeugt/gekrümmt/gebogen
against each other|gegeneinander
married|geheiratet
landed|gelandet
twaddle|gewäsch
synonymous|gleichbedeutend
coarse|grobem/derb
harbors|hegt
hunter|jäger
cat|katze
kneels|kniet
Croatian|kroate
land|landen
eventually|letztendlich
magazine|magazin
deserted|menschenleer
myths|mythen
killer|mörder
objects|objekte
processes|prozesse
quieter|ruhigere
jewelry|schmuck/geschmeide
severe|schwerste
blessing|segen
skeptical|skeptisch
chair|stuhl
ton|tonne
forgive|vergebe
breath away|verschlug
morning|vormittag
make|vorzunehmen
values|werte
give back|wiedergebt
restored|wiederhergestellt
winch|winde
awarded|zugesprochen
purposes|zwecke
fears|ängste
appeal|appell/appellieren
uncovereth|aufdecke
eyelid|augenlid
editors|bearbeitern
emphasize|betonen
downcast|betrübst
guarded|bewacht
hastily|hastig/eilig
surreptitiously|erschlich
experiments|experimente
acting|wirkende/fungiere
fan|fächern
home pay|heimzahle
witch|hexe
make clear|klarmache
compete|konkurriere
granulate|körnen
ridiculous|lächerliche
play along|mitspiele
top off|nachfülle
resigning|niederlege
pack|packen
permanently|permanent
regional|regionale
rectal|rektal
switch|schalten
tail|schweif/schweifs
blessed|gesegnet/selig/begnadet/gepriesen
seminars|seminare
economical|sparsam
tournament|turnier
mistaken|täuschst
foolish|töricht
discomfort|unbehagen
rude|unhöflich
at start|unterfange
unreliable|unzuverlässig
despise|verachtest/verachte
causes|veranlaßt/veranlasst/verursache
wasters|verschwendern
misunderstandings|verständnisse
foresee|voraussehe
hamlet|weiler
will break|zerbreche
twitching|zuckend
ambiguous|zweideutig
Ferns|Farne
wed|vermähle
breasts|brüste
Outward|hinreise
polite|höflich/höfliches
muscles|muskeln
will auction|versteigere
effeminate|weichlich
overexert|überanstrenge
overabundance|überfülle
accused|angeklagt
listen to|anhörst
needed|bedurft/bedürfe
obey|befolgst/gehorchst
illuminators|beleuchtern
exhilarate|beschwingen
fractures|brüche
thinking|denkende
drowning|ertrinke
will catch|erwischst
Patent Attorney|erwähle
factories|fabriken
is fascinated|fasziniere
stand firm|feststehe
release them|freilasse
peace treaty|friedensvertrag
promote|fördern
Princes|Fürstentag
safely|gefahrlos/heil
enclosure|gehege
assistant|gehilfe
mentally strong|geisteskraft
stuffed|gestopft
aroused|geweckt
domestic policy|innenpolitik
cook|kochst/kochen
Communion|kommunion
ongoing|laufende
suffering|leidend
Central Europe|mitteleuropa
thoughtful|nachdenklich
nocturnal|nächtlich
folders|ordnern
East German|ostdeutsch
productive|produktiv/ergiebig
movement|regung
divorce|scheidung/scheiden
shrink|scheust
scold|schimpfst
palatable|schmackhaft
harmful|schädlich
self-praise|selbstlob
dying|stürbe
temple|tempels/schläfe
unfriendly|unfreundlich
unexplained|ungeklärt
suppressive|unterdrücke
dissatisfied|unzufrieden
digest|verdaust
repays|vergilt
locked|verschloss
submitted to|vorgelegen
evading|weichst
wind|winden
cast spells|zauberst
tremble|zittern/zitterst
flew|zuflog
pull together|zusammenziehe
undoubtedly|zweifellos
Lifts|aufzuge
grounds|begründung
sometimes|mitunter/bisweilen
ambitious|ehrgeizigem
alienating|entfremde
movies|filme
disposable|geldes
poison|gift
peninsula|halbinsel
houses|häusern
innermost|innerste
Card|karten
Life-size|Lebensgröße
myth|mythos
panic|panik
popularity|popularität
transmitter|sender
Sicily|sizilien
handsome|stattlich
temperature|temperatur
submitted|eingereicht/unterwarf/vorgebracht/abgegeben
demolished|abgerissen
detached|abgetrennt/losgelöst
discourages|abhalte/abhält
veer|abkomme
falls|allt
inquiry|anfrage
Anglo|angel
connected|angeschlossen
addressed|ansprach/angesprochen
starting point|ausgangspunkt
delivered|ausgeliefert
acquaintance|bekanntschaft
adjacent|benachbart
confirmed|bestätigtem
confirmation|bestätigung
brandenburg|brandenburger
Brussels|brüssel
data|daten
so|dermaßen/derart
three|dreien
enforced|durchgesetzt
noblest|edelste
husband|ehemann
rushes|eilt
classified|eingestuft
Itemization|Einzelnachweis
yield|erträge
